,authors,tweets,likes,retweets,time
47,Ulster_Umpires,"🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Junior League Cup Finals (2 of 2)

Junior 5
@nicshockeyclub 4s v @PortrushHC 2s - Sarah Craig &amp; William Kilpatrick
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey",3,0,2022-05-06 16:05:42+00:00
48,Ulster_Umpires,"🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Junior League Cup Finals (1 of 2)

Junior 3
@NewryHockeyClub 2s v @BangorHC 3s - Aaron Donnell &amp; Gareth Herron

Junior 4
@RaphoeHockey 3s v @MossleyHockey 4s - Mervyn Logan &amp; Sam Henry
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey",3,2,2022-05-06 16:04:57+00:00
49,Ulster_Umpires,"🚨Men’s Appointments 07/05/22🚨
@UlsterHockey Linden Cup Final
PSNI v @BangorHC - Oli Brown &amp; Peter Watson
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey",4,1,2022-05-06 16:01:53+00:00
50,WorldHockeyNews,"#SH Unbeaten Inverleith top Women’s National League

Having secured the League title with a hard fought 3-2 victory over Fjordhus Reivers the previous week, Inverleith travelled to Gannochy on Saturday looking to maintain their unbeaten league run and fi… https://t.co/8NuGyQM8nv",0,0,2022-05-06 15:38:34+00:00
51,WorldHockeyNews,#EH Talent Development: 17 Clubs Offered Talent Academy Licences https://t.co/fzIub8ndOF,0,0,2022-05-06 14:44:51+00:00
52,FatihkorkmazFk,"RT @eurohockeyorg: #newsflash #EHCU18 

The 2023 EuroHockey U18 Youth Championships venues have been announced:

https://t.co/uUIqtGCTFi ht…",0,4,2022-05-06 14:24:58+00:00
53,WorldHockeyNews,"#FIH Future of the Penalty Corner – Global consultation project Future of the Penalty Corner – Global consultation project
We invite you to fill in a short online questionnaire to capture opinions on the current penalty corner rules, as well as ideas for… https://t.co/hkziGxqABg",0,0,2022-05-06 13:49:13+00:00
54,WorldHockeyNews,"#EHL Van der Linden to hang up stick after 15 years with HGC

EHL winner Floris van der Linden is hanging up his stick after an incredibly loyal 15-year stint with HGC in the Hoofdklasse.

He arrived at the club from Belgium after high school having achi… https://t.co/enHTviijzv",0,0,2022-05-06 13:41:19+00:00
55,WorldHockeyNews,"#EHF EuroHockey U18 Youth Championships 2023

6th May 2022, Brussels, Belgium: The 2023 EuroHockey U18 Youth Championships will take place on the following dates at the venues stated. Participating nations are qualified for pools and divisions based on t… https://t.co/rl33KSkW5I",1,1,2022-05-06 13:11:15+00:00
56,leinsterhockey1,"Looks like @IreBoysJag &amp; @IreGirlsJAG U18s are off to 🇩🇪 in 2023!!
#Representing #Development https://t.co/ZUIfZB4jO1",3,0,2022-05-06 12:08:23+00:00
57,eurohockeyorg,"#newsflash #EHCU18 

The 2023 EuroHockey U18 Youth Championships venues have been announced:

https://t.co/uUIqtGCTFi https://t.co/ai7XQAuKWu",14,4,2022-05-06 12:03:40+00:00
58,WorldHockeyNews,"#HI Twelve Clubs, Six Finals, Two Days – Hockey Ireland Cup Competitions Finals Weekend

Six exciting finals this weekend marks the culmination of the national club season with the men’s and women’s Irish Hockey Trophy, Hockey Challenge and Junior Cup co… https://t.co/8wiVKmMy5F",0,0,2022-05-06 10:55:21+00:00
59,WorldHockeyNews,"#THP Barry Middleton and Nick Bandurak take up Holcombe coaching roles

Barry Middleton has taken another step forwards in his coaching career by taking over the head coach role at Holcombe Hockey Club, replacing the long-serving Julian Halls. Meanwhile,… https://t.co/k3DzfGVr2A",1,0,2022-05-06 10:39:44+00:00
60,WorldHockeyNews,"#THP Kwan Browne: I want to see Southgate back in English Hockey’s Premier Division

Kwan Browne says the “sleeping giant” that is Southgate HC can return to the men’s Premier Division after the Trinidadian left Hampstead &amp; Westminster to join as head co… https://t.co/mWWrU8lREq",1,0,2022-05-06 10:39:43+00:00
61,WorldHockeyNews,"#SH Scotland women’s squad to face Wales this weekend

Scotland women are back in action this weekend as they take on Wales at Bowdon Hockey Club in Altrincham.

The uncapped two-match series will see the teams take to the pitch at 16:30 on Saturday and … https://t.co/CksPGlgru8",1,0,2022-05-06 10:38:04+00:00
62,WorldHockeyNews,#EH Nottingham Hosts IN2 Competitions https://t.co/mTG83zkYH1,0,0,2022-05-06 08:44:07+00:00
63,CoachesGreat,"Our Great Coach on this episode is Danny Kerry. He talks about learning to regulate your emotional response as a leader. Applicable to all leaders.

🔉 Spotify https://t.co/fd7otiEvGr
🔉 Apple https://t.co/tfWhwmTCz2 
@Danny_Kerry @GBHockey @eurohockeyorg @EnglandHockey https://t.co/qzm4lN9VA1",0,0,2022-05-06 08:09:30+00:00
64,SimonePagliara,"#EuroHockey Club Trophy I, Men - Paris 🥈🏑 @eurohockeyorg @eurohockey #RWWFamily #HCRotweissWettingen https://t.co/5sAW0BPMhH",0,0,2022-05-06 07:55:08+00:00
65,WorldHockeyNews,"#THP Hockey Pro League: England and Germany end honours even after reverse wins

Fresh cycle, new players, indifferent results. That’s the facts which face England or Great Britain teams at the start of an Olympic path. And that was summed in Mönchenglad… https://t.co/7d4tuSbOHs",0,0,2022-05-06 07:39:34+00:00
66,WorldHockeyNews,"#HWN Netherlands: Keetels Happy With Den Bosch’s Fighting Spirit

By winning the Gold Cup, Marloes Keetels added a new prize to her already overflowing list of honours. More than the joy about winning the most important cup tournament, the captain of Den… https://t.co/d6HTXns5Vq",0,1,2022-05-06 07:27:44+00:00
67,WorldHockeyNews,"#HWN Pro-League: Honamas Win ‘Penalty Corner Festival’ Against England

FIH Pro League Men: Germany vs. England 3:2 (1:1)

The Danas had shown the way, the Honamas followed suit. After coach André Henning’s team lost their first game against England, the… https://t.co/OHGu1wscVW",1,0,2022-05-06 07:27:43+00:00
68,WorldHockeyNews,"#HWN Pro-League: Danas Win to get Revenge Against England

FIH Pro League Women: Germany vs. England 4:1 (2:0)

Revenge successful: Danas win against England

After the unfortunate 4-3 defeat on Wednesday, the Danas did much better in the second game aga… https://t.co/eWNnCdwDXE",1,1,2022-05-06 06:27:02+00:00
69,WorldHockeyNews,"#PAHF III South American Youth Games The wait is over. It is time to enjoy the 2022 South American Youth Games. From this Thursday, May 5 to Sunday, May 8, we will be entertained with 4 days of pure hockey. https://t.co/146c8AMyR4",0,0,2022-05-06 03:35:33+00:00
70,yvorushylo,@eurohockeyorg HUGE thanks to EU hockey family @eurohockeyorg for standing with Ukraine! 💙💛 #values,3,0,2022-05-05 19:57:31+00:00
71,WorldHockeyNews,#EH England Men Narrowly Miss Out On Second Win Over Germany https://t.co/GxcGmR78SA,1,0,2022-05-05 17:44:09+00:00
72,WorldHockeyNews,#EH England Hockey Saddened By Passing of Mike Ward https://t.co/D3285Clmeu,0,0,2022-05-05 16:44:51+00:00
73,WorldHockeyNews,"#FIH FIH Hockey Pro League Season 3: Germany vs England (Men), Game 1 highlights About the FIH
Set up in 1924, the FIH is recognised by the International Olympic Committee, as well as by the FIH’s Members and the Continental Federations, as the sole ult… https://t.co/dmxD40BbWf",0,0,2022-05-05 15:49:53+00:00
74,WorldHockeyNews,"#FIH FIH Hockey Pro League Season 3: Germany vs England (Women), Game 1 highlights About the FIH
Set up in 1924, the FIH is recognised by the International Olympic Committee, as well as by the FIH’s Members and the Continental Federations, as the sole u… https://t.co/zsoQmRZwwo",0,0,2022-05-05 15:49:53+00:00
75,WorldHockeyNews,#EH England Women Come Up Short Against Germany https://t.co/TfCchvK4Nt,0,0,2022-05-05 14:44:31+00:00
76,WorldHockeyNews,"#HWN Belgium: Florent Van Aubel’s New Challenge at Pinoké

The Dragons striker will have his first experience abroad after winning 7 titles with the Dragons. He will join the Dutch club, where Alexander Hendrickx and Sebastien Dockier already play, and w… https://t.co/uvIzrcUuRR",0,0,2022-05-05 13:27:46+00:00
77,WorldHockeyNews,"#HWN Pro-League: Bandurak and Payne Shine as England Defeat Germany

FIH Pro League Men: Germany vs. England 0:1 (0:1)

In the game against England, the German national team was the stronger team, but the English team, with Nicholas Bandurak, scored just… https://t.co/MIULWHUKOq",0,0,2022-05-05 13:27:45+00:00
78,WorldHockeyNews,"#HWN Pro-League: The Danas Narrowly Lose 4-3 to Athletic England Women

FIH Pro League Women: Germany vs. England 3:4 (2:1)

In the FIH Pro League, the Danas met the English selection today, May 4th. In the first of two games at SparkassenPark Mönchengla… https://t.co/IxRjHf3QR8",0,0,2022-05-05 13:27:44+00:00
79,WorldHockeyNews,#EH Men's County Championships https://t.co/LUjoM8IstQ,0,0,2022-05-05 12:44:26+00:00
80,WorldHockeyNews,"#THP ‘Balance is something alot of goalkeepers struggle with’

Surbiton’s Ore Ogunlana talks about how a focus on balance has helped his goalkeeping For me it’s all been about balance this season. When someone has come in to take a shot, it has been abou… https://t.co/qO79hJskZU",0,0,2022-05-05 12:39:07+00:00
81,WorldHockeyNews,"#SH Promotion/relegation down to the wire

Some issues are already settled. After winning the men`s National League by a massive 14 points ESM are promoted to the Premiership for the first time in the club`s history. The Edinburgh side cross over Grove M… https://t.co/nDBCqhsZaD",1,1,2022-05-05 11:38:48+00:00
82,eurohockeyorg,"Thank you @yvorushylo for sharing your experiences. 

As always we #StandWithUkriane and our Ukraine hockey family https://t.co/9GVCwdM1tN",3,1,2022-05-05 11:20:24+00:00
83,WorldHockeyNews,"#EHL Spanish Final 4 ready to roll in Madrid

The Spanish Final 4 will take place in Madrid this weekend as the culmination of the domestic season plays out on Saturday and Sunday.

In the women’s competition, Club de Campo de Madrid will take on Junior … https://t.co/oRYWIdty2e",0,0,2022-05-05 10:41:25+00:00
84,EHF_Saby,"RT @eurohockeyorg: #Institute #Education 

After 16 months we are working towards the launch of the EHF Institute for Education! 

Exciting…",0,2,2022-05-05 09:32:29+00:00
85,WorldHockeyNews,"#THP How Canada’s Jamie Wallace balances crypto and hockey

For a country that has around 300 men and boys to choose from for its national hockey squad, three of them have been playing in the English Premier Division this season for East Grinstead. Jamie… https://t.co/f5rRymguwt",0,0,2022-05-05 07:39:06+00:00
86,WorldHockeyNews,"#HNZ Allyson Gofton named Hockey NZ Administrator of the Year

Allyson’s generosity, guidance, and support, are reflected in her community of Cambridge where she plays a big role in the community, local school, and Suburbs-Piako Hockey Club.

She tireles… https://t.co/NBXq7C5Z4V",0,0,2022-05-04 21:21:04+00:00
87,geersfrank,"RT @eurohockeyorg: #LA2028 #CzechHockey 

Earlier this month @PozemniHokej  Hockey Women U18/U21 and A-team met to kick off their Olympic J…",0,1,2022-05-04 20:58:42+00:00
88,WorldHockeyNews,#EH Payne and Bandurak edge England past Germany https://t.co/m1AmtbRb9j,0,0,2022-05-04 19:45:23+00:00
89,ehf_marijke,"RT @eurohockeyorg: #Institute #Education 

After 16 months we are working towards the launch of the EHF Institute for Education! 

Exciting…",0,2,2022-05-04 18:25:33+00:00
90,WorldHockeyNews,#EH Bourne's Brilliant Brace Helps England Come From Behind To Beat Germany https://t.co/VD0HZKOtvh,0,0,2022-05-04 17:44:06+00:00
91,WorldHockeyNews,"#EHF EuroHockey Institute Transnational Meeting 6: The Netherlands

4th May 2002, Brussels: Belgium: During the start of the EHL the EuroHockey Institute Project partners met at Hurley Hockey Club.

The mission is to develop an institute that will delive… https://t.co/NbZSz7OjMm",0,0,2022-05-04 16:11:52+00:00
92,eurohockeyorg,"#LA2028 #CzechHockey 

Earlier this month @PozemniHokej  Hockey Women U18/U21 and A-team met to kick off their Olympic Journey towards LA2028. 

With support from the National Sports Agency (NSA) the Czech women's hockey has started a 6-year journey... 

Best of luck!!!!! https://t.co/pe0mLl2zJS",7,1,2022-05-04 15:29:49+00:00
93,eurohockeyorg,"#Institute #Education 

After 16 months we are working towards the launch of the EHF Institute for Education! 

Exciting times ahead: 
https://t.co/4tKFbqIldL https://t.co/pvG7nVe6Gw",11,2,2022-05-04 15:17:55+00:00
94,Ulster_Umpires,"🚨Men's Appointment 04/05/22🚨
@UlsterHockey Premier League Relegation/Promotion Playoff
@NewryHockeyClub v @PortrushHC
Umpires: Oli Brown &amp; Peter Watson
Venue: The Glade (@MossleyHockey)
Time: 8pm
🏑😤♻️🟨🔴

@fhumpires @eurohockeyorg @FIH_Hockey",4,0,2022-05-04 13:55:58+00:00
95,eurohockeyorg,"#Update

The EHF has today announced some changes to the EuroHockey Championship Qualifiers due to the exclusion of Russia and Belarus: 

Read the full update here: https://t.co/OOnUUhCevg",4,1,2022-05-04 12:25:03+00:00
